Time,PID,Tickets,Pass,Stride,Runtime
50759,9,16,0,64,3817
50759,10,32,0,32,3817
50759,11,32,0,32,3817
50759,12,32,0,32,3817
50759,13,32,0,32,3817
50759,14,32,0,32,3817
50759,15,32,0,32,2098
50759,16,32,0,32,2098
50759,17,8,0,128,2098
50759,18,2,0,512,2098
50759,19,8,0,128,2098
50759,20,8,0,128,2098
52759,1,8,0,128,23
52759,2,8,0,128,19
52759,5,1,0,1024,3943
52759,4,8,0,128,3976
52759,6,2,0,512,3943
52759,7,4,0,256,3942
52759,8,8,0,128,3942
52759,9,16,0,64,3942
52759,10,32,0,32,3942
52759,11,32,0,32,3942
52759,12,32,0,32,3942
52759,13,32,0,32,3942
52759,14,32,0,32,3942
52759,15,32,0,32,2223
52759,16,32,0,32,2223
52759,17,8,0,128,2223
52759,18,2,0,512,2223
52759,19,8,0,128,2223
52759,20,8,0,128,2223
54759,1,8,0,128,23
54759,2,8,0,128,19
54759,5,1,0,1024,4068
54759,4,8,0,128,4101
54759,6,2,0,512,4068
54759,7,4,0,256,4067
54759,8,8,0,128,4067
54759,9,16,0,64,4067
54759,10,32,0,32,4067
54759,11,32,0,32,4067
54759,12,32,0,32,4067
54759,13,32,0,32,4067
54759,14,32,0,32,4067
54759,15,32,0,32,2348
54759,16,32,0,32,2348
54759,17,8,0,128,2348
54759,18,2,0,512,2348
54759,19,8,0,128,2348
54759,20,8,0,128,2348
